# step source loss verdict alpha
313 0 2.9213 WEAKEN 0.106
314 0 2.3273 WEAKEN 0.688
315 0 2.3875 WEAKEN 0.772
316 0 2.4829 WEAKEN 0.884
317 1 7.5928 FREEZE 0.000
318 0 2.4213 WEAKEN 0.811
319 0 2.5832 WEAKEN 0.349
320 0 2.3633 WEAKEN 0.861
321 0 2.8729 WEAKEN 0.387
322 0 2.0338 WEAKEN 0.821
323 0 2.3086 WEAKEN 0.041
324 0 2.4630 WEAKEN 0.369
325 0 2.6827 WEAKEN 0.207
326 0 2.1395 WEAKEN 0.790
327 0 2.1421 WEAKEN 0.452
328 0 2.6805 FREEZE 0.000
329 0 2.4029 WEAKEN 0.820
330 0 2.1524 WEAKEN 0.610
331 0 2.4922 WEAKEN 0.491
332 0 2.3856 FREEZE 0.000
333 0 2.6212 WEAKEN 0.919
334 0 2.4826 FREEZE 0.000
335 0 2.2756 WEAKEN 0.944
336 0 2.6754 FREEZE 0.000
337 0 2.6758 WEAKEN 0.034
338 0 2.3221 WEAKEN 0.469
339 0 2.4078 WEAKEN 0.486
340 0 2.3661 WEAKEN 0.155
341 0 2.3128 PASS 1.000
342 0 2.1674 WEAKEN 0.372
343 0 2.2217 WEAKEN 0.660
344 0 2.6544 WEAKEN 0.037
345 0 2.6484 WEAKEN 0.079
346 0 2.5574 WEAKEN 0.153
347 1 2.7200 FREEZE 0.000
348 0 3.0689 FREEZE 0.000
349 0 2.6059 WEAKEN 0.081
350 0 2.5953 WEAKEN 0.400
351 0 2.2368 WEAKEN 0.231
352 1 4.3509 FREEZE 0.000
353 0 2.5525 FREEZE 0.000
354 0 2.3411 WEAKEN 0.463
355 0 2.4167 WEAKEN 0.837
356 1 2.6812 SILENCE 0.000
357 0 2.3724 PASS 1.000
358 0 2.5560 WEAKEN 0.173
359 0 2.2820 WEAKEN 0.670
360 0 2.2198 WEAKEN 0.557
361 0 2.7259 FREEZE 0.000
362 0 2.3615 WEAKEN 0.375
363 0 2.0662 PASS 1.000
364 0 2.6107 WEAKEN 0.374
365 0 2.3046 FREEZE 0.000
366 0 2.5402 FREEZE 0.000
367 0 2.2180 WEAKEN 0.217
368 0 2.1377 WEAKEN 0.872
369 0 2.9231 FREEZE 0.000
370 0 2.6331 WEAKEN 0.005
371 0 2.4266 WEAKEN 0.136
372 0 2.6509 FREEZE 0.000
373 0 2.4093 WEAKEN 0.654
374 0 2.4808 WEAKEN 0.290
375 1 2.7903 FREEZE 0.000
376 1 6.3735 FREEZE 0.000
377 0 2.1803 WEAKEN 0.656
378 0 2.5201 FREEZE 0.000
379 0 2.0479 WEAKEN 0.891
380 0 2.4813 FREEZE 0.000
381 0 2.5052 FREEZE 0.000
382 0 2.2491 FREEZE 0.000
383 0 2.3520 WEAKEN 0.595
384 0 2.2227 WEAKEN 0.707
385 0 2.1355 FREEZE 0.000
386 0 2.5206 WEAKEN 0.138
387 0 2.4973 WEAKEN 0.697
388 0 2.5398 FREEZE 0.000
389 0 2.5978 WEAKEN 0.403
390 0 2.4838 FREEZE 0.000
391 0 2.4310 WEAKEN 0.382
392 0 2.7239 WEAKEN 0.972
393 0 2.3195 WEAKEN 0.871
394 1 2.7433 FREEZE 0.000
395 0 2.2953 WEAKEN 0.177
396 0 2.3006 WEAKEN 0.624
397 0 2.3035 WEAKEN 0.613
398 0 2.4171 WEAKEN 0.194
399 0 2.7976 WEAKEN 0.287
400 0 2.7336 FREEZE 0.000
401 0 2.0487 WEAKEN 0.876
402 0 2.3230 WEAKEN 0.384
403 0 2.5133 WEAKEN 0.234
404 0 2.1647 WEAKEN 0.610
405 0 2.0201 WEAKEN 0.152
406 0 2.3298 WEAKEN 0.818
407 0 2.2751 WEAKEN 0.839
408 0 2.5300 WEAKEN 0.630
409 0 2.6007 WEAKEN 0.024
410 0 2.5025 FREEZE 0.000
411 1 3.1296 SCAR 0.000
412 0 2.8587 SILENCE 0.000
413 0 2.1221 WEAKEN 0.776
414 0 2.5460 FREEZE 0.000
415 0 2.2683 WEAKEN 0.785
416 0 2.4718 FREEZE 0.000
417 0 2.5144 WEAKEN 0.175
418 0 2.6665 FREEZE 0.000
419 0 2.8247 FREEZE 0.000
420 0 2.8303 WEAKEN 0.306
421 0 2.6789 FREEZE 0.000
422 0 2.4637 WEAKEN 0.413
423 0 2.6860 FREEZE 0.000
424 0 2.2462 WEAKEN 0.299
425 0 2.3608 WEAKEN 0.909
426 0 2.2648 PASS 1.000
427 0 2.2859 WEAKEN 0.575
428 0 2.4420 WEAKEN 0.291
429 0 2.2850 WEAKEN 0.342
430 0 2.4238 WEAKEN 0.524
431 0 2.5576 WEAKEN 0.684
432 0 2.2652 WEAKEN 0.734
433 0 2.1148 WEAKEN 0.668
434 0 2.1260 WEAKEN 0.413
435 0 2.5369 WEAKEN 0.038
436 0 2.2772 WEAKEN 0.900
437 0 2.2557 WEAKEN 0.323
438 0 2.2396 WEAKEN 0.765
439 0 2.8937 WEAKEN 0.050
440 0 2.3251 PASS 1.000
441 1 2.6993 SCAR 0.000
442 0 2.3829 WEAKEN 0.252
443 0 2.0365 WEAKEN 0.924
444 0 2.6115 WEAKEN 0.215
445 0 2.5394 WEAKEN 0.202
446 0 2.6220 WEAKEN 0.154
447 0 2.4105 WEAKEN 0.260
448 0 2.3182 WEAKEN 0.848
449 0 2.2362 WEAKEN 0.915
450 0 2.2423 WEAKEN 0.759
451 0 2.1933 WEAKEN 0.653
452 0 2.4585 WEAKEN 0.343
453 0 2.4415 WEAKEN 0.307
454 1 2.6878 SILENCE 0.000
455 0 2.6943 FREEZE 0.000
456 1 2.7217 FREEZE 0.000
457 0 2.2863 WEAKEN 0.585
458 0 2.3652 WEAKEN 0.626
459 1 2.7403 SILENCE 0.000
460 1 2.6802 FREEZE 0.000
461 0 2.1967 WEAKEN 0.896
462 0 2.3181 WEAKEN 0.649
463 0 2.4245 WEAKEN 0.890
464 0 2.3209 WEAKEN 0.171
465 1 2.7459 SCAR 0.000
466 1 2.7148 SCAR 0.000
467 0 2.5218 FREEZE 0.000
468 0 2.1904 WEAKEN 0.652
469 0 2.2952 WEAKEN 0.864
470 0 2.1480 WEAKEN 0.941
471 0 2.1403 WEAKEN 0.345
472 0 2.3979 WEAKEN 0.633
473 0 2.5974 WEAKEN 0.423
474 0 2.2352 WEAKEN 0.602
475 0 1.9715 WEAKEN 0.672
476 0 2.2904 WEAKEN 0.623
477 0 2.1611 FREEZE 0.000
478 0 2.5149 WEAKEN 0.036
479 0 2.5743 WEAKEN 0.115
