# step source loss verdict alpha
299 1 8.7287 FREEZE 0.000
300 0 2.6510 WEAKEN 0.345
301 0 2.2503 PASS 1.000
302 0 2.5406 PASS 1.000
303 0 2.1341 PASS 1.000
304 0 2.1984 WEAKEN 0.732
305 0 2.4078 WEAKEN 0.109
306 0 2.5298 WEAKEN 0.161
307 0 2.4502 WEAKEN 0.607
308 0 2.2893 WEAKEN 0.711
309 0 2.0708 WEAKEN 0.926
310 0 2.4336 WEAKEN 0.013
311 0 2.3206 WEAKEN 0.262
312 1 2.9561 SCAR 0.000
313 0 2.8948 WEAKEN 0.163
314 0 2.2799 WEAKEN 0.742
315 0 2.3383 WEAKEN 0.882
316 0 2.5904 WEAKEN 0.951
317 1 7.8196 FREEZE 0.000
318 0 2.4339 WEAKEN 0.881
319 0 2.6042 WEAKEN 0.432
320 0 2.2908 WEAKEN 0.950
321 0 2.8577 WEAKEN 0.435
322 0 2.0017 WEAKEN 0.917
323 0 2.3203 WEAKEN 0.056
324 0 2.4190 WEAKEN 0.437
325 0 2.6732 WEAKEN 0.286
326 0 2.1729 WEAKEN 0.900
327 0 2.1118 WEAKEN 0.523
328 0 2.6826 FREEZE 0.000
329 0 2.4258 WEAKEN 0.917
330 0 2.1724 WEAKEN 0.710
331 0 2.4442 WEAKEN 0.576
332 0 2.3445 WEAKEN 0.028
333 0 2.6442 PASS 1.000
334 0 2.4759 FREEZE 0.000
335 0 2.2827 PASS 1.000
336 0 2.5894 FREEZE 0.000
337 0 2.6300 WEAKEN 0.066
338 0 2.2944 WEAKEN 0.546
339 0 2.3447 WEAKEN 0.580
340 0 2.2803 WEAKEN 0.202
341 0 2.2790 PASS 1.000
342 0 2.1340 WEAKEN 0.438
343 0 2.1821 WEAKEN 0.713
344 0 2.6460 WEAKEN 0.086
345 0 2.5808 WEAKEN 0.094
346 0 2.5589 WEAKEN 0.214
347 1 2.6795 FREEZE 0.000
348 0 2.9217 FREEZE 0.000
349 0 2.4343 WEAKEN 0.174
350 0 2.4355 WEAKEN 0.451
351 0 2.1248 WEAKEN 0.282
352 1 4.5000 FREEZE 0.000
353 0 2.4992 FREEZE 0.000
354 0 2.2585 WEAKEN 0.550
355 0 2.3409 WEAKEN 0.911
356 1 2.6086 FREEZE 0.000
357 0 2.3476 PASS 1.000
358 0 2.5010 WEAKEN 0.199
359 0 2.2037 WEAKEN 0.757
360 0 2.2306 WEAKEN 0.646
361 0 2.6862 FREEZE 0.000
362 0 2.3952 WEAKEN 0.479
363 0 2.0058 PASS 1.000
364 0 2.5976 WEAKEN 0.448
